place of birth,age group,gender,year,province of residence,concept,value
another province of Galicia,100+,female,2011,total,population,58
another province of Galicia,100+,female,2011,A Coruña,population,15
another province of Galicia,100+,female,2011,Lugo,population,8
another province of Galicia,100+,female,2011,Ourense,population,10
another province of Galicia,100+,female,2011,Pontevedra,population,25
in another autonomous community,total,total,2001,total,population,122825
in another autonomous community,total,total,2001,A Coruña,population,49780
in another autonomous community,total,total,2001,Lugo,population,18863
in another autonomous community,total,total,2001,Ourense,population,16110
in another autonomous community,total,total,2001,Pontevedra,population,38072
in another autonomous community,total,total,2011,total,population,143757
in another autonomous community,total,total,2011,A Coruña,population,59562
in another autonomous community,total,total,2011,Lugo,population,22097
in another autonomous community,total,total,2011,Ourense,population,18088
in another autonomous community,total,total,2011,Pontevedra,population,44010
in another autonomous community,total,male,2001,total,population,59608
in another autonomous community,total,male,2001,A Coruña,population,24359
in another autonomous community,total,male,2001,Lugo,population,8992
in another autonomous community,total,male,2001,Ourense,population,7657
in another autonomous community,total,male,2001,Pontevedra,population,18600
in another autonomous community,total,male,2011,total,population,70595
in another autonomous community,total,male,2011,A Coruña,population,29459
in another autonomous community,total,male,2011,Lugo,population,10754
in another autonomous community,total,male,2011,Ourense,population,8599
in another autonomous community,total,male,2011,Pontevedra,population,21783
in another autonomous community,total,female,2001,total,population,63217
in another autonomous community,total,female,2001,A Coruña,population,25421
in another autonomous community,total,female,2001,Lugo,population,9871
in another autonomous community,total,female,2001,Ourense,population,8453
in another autonomous community,total,female,2001,Pontevedra,population,19472
in another autonomous community,total,female,2011,total,population,73162
in another autonomous community,total,female,2011,A Coruña,population,30103
in another autonomous community,total,female,2011,Lugo,population,11343
in another autonomous community,total,female,2011,Ourense,population,9489
in another autonomous community,total,female,2011,Pontevedra,population,22227
in another autonomous community,0-4,total,2001,total,population,1738
in another autonomous community,0-4,total,2001,A Coruña,population,676
in another autonomous community,0-4,total,2001,Lugo,population,226
in another autonomous community,0-4,total,2001,Ourense,population,286
in another autonomous community,0-4,total,2001,Pontevedra,population,550
in another autonomous community,0-4,total,2011,total,population,2708
in another autonomous community,0-4,total,2011,A Coruña,population,1162
in another autonomous community,0-4,total,2011,Lugo,population,379
in another autonomous community,0-4,total,2011,Ourense,population,363
in another autonomous community,0-4,total,2011,Pontevedra,population,803
in another autonomous community,0-4,male,2001,total,population,895
in another autonomous community,0-4,male,2001,A Coruña,population,337
in another autonomous community,0-4,male,2001,Lugo,population,119
in another autonomous community,0-4,male,2001,Ourense,population,147
in another autonomous community,0-4,male,2001,Pontevedra,population,292
in another autonomous community,0-4,male,2011,total,population,1395
in another autonomous community,0-4,male,2011,A Coruña,population,630
in another autonomous community,0-4,male,2011,Lugo,population,182
in another autonomous community,0-4,male,2011,Ourense,population,180
in another autonomous community,0-4,male,2011,Pontevedra,population,404
in another autonomous community,0-4,female,2001,total,population,843
in another autonomous community,0-4,female,2001,A Coruña,population,339
in another autonomous community,0-4,female,2001,Lugo,population,107
in another autonomous community,0-4,female,2001,Ourense,population,139
in another autonomous community,0-4,female,2001,Pontevedra,population,258
in another autonomous community,0-4,female,2011,total,population,1312
in another autonomous community,0-4,female,2011,A Coruña,population,533
in another autonomous community,0-4,female,2011,Lugo,population,197
in another autonomous community,0-4,female,2011,Ourense,population,183
in another autonomous community,0-4,female,2011,Pontevedra,population,399
in another autonomous community,5-9,total,2001,total,population,2601
in another autonomous community,5-9,total,2001,A Coruña,population,1013
in another autonomous community,5-9,total,2001,Lugo,population,341
in another autonomous community,5-9,total,2001,Ourense,population,415
in another autonomous community,5-9,total,2001,Pontevedra,population,832
in another autonomous community,5-9,total,2011,total,population,4454
in another autonomous community,5-9,total,2011,A Coruña,population,1849
in another autonomous community,5-9,total,2011,Lugo,population,524
in another autonomous community,5-9,total,2011,Ourense,population,606
in another autonomous community,5-9,total,2011,Pontevedra,population,1476
in another autonomous community,5-9,male,2001,total,population,1305
in another autonomous community,5-9,male,2001,A Coruña,population,504
in another autonomous community,5-9,male,2001,Lugo,population,170
in another autonomous community,5-9,male,2001,Ourense,population,214
in another autonomous community,5-9,male,2001,Pontevedra,population,417
in another autonomous community,5-9,male,2011,total,population,2265
in another autonomous community,5-9,male,2011,A Coruña,population,907
in another autonomous community,5-9,male,2011,Lugo,population,305
in another autonomous community,5-9,male,2011,Ourense,population,302
in another autonomous community,5-9,male,2011,Pontevedra,population,752
in another autonomous community,5-9,female,2001,total,population,1296
in another autonomous community,5-9,female,2001,A Coruña,population,509
in another autonomous community,5-9,female,2001,Lugo,population,171
in another autonomous community,5-9,female,2001,Ourense,population,201
in another autonomous community,5-9,female,2001,Pontevedra,population,415
in another autonomous community,5-9,female,2011,total,population,2189
in another autonomous community,5-9,female,2011,A Coruña,population,942
in another autonomous community,5-9,female,2011,Lugo,population,219
in another autonomous community,5-9,female,2011,Ourense,population,304
in another autonomous community,5-9,female,2011,Pontevedra,population,724
in another autonomous community,10-14,total,2001,total,population,3829
in another autonomous community,10-14,total,2001,A Coruña,population,1439
in another autonomous community,10-14,total,2001,Lugo,population,548
in another autonomous community,10-14,total,2001,Ourense,population,597
in another autonomous community,10-14,total,2001,Pontevedra,population,1245
in another autonomous community,10-14,total,2011,total,population,3961
in another autonomous community,10-14,total,2011,A Coruña,population,1572
in another autonomous community,10-14,total,2011,Lugo,population,502
in another autonomous community,10-14,total,2011,Ourense,population,529
in another autonomous community,10-14,total,2011,Pontevedra,population,1359
in another autonomous community,10-14,male,2001,total,population,1941
in another autonomous community,10-14,male,2001,A Coruña,population,711
in another autonomous community,10-14,male,2001,Lugo,population,302
in another autonomous community,10-14,male,2001,Ourense,population,306
in another autonomous community,10-14,male,2001,Pontevedra,population,622
in another autonomous community,10-14,male,2011,total,population,2044
in another autonomous community,10-14,male,2011,A Coruña,population,788
in another autonomous community,10-14,male,2011,Lugo,population,270
in another autonomous community,10-14,male,2011,Ourense,population,272
in another autonomous community,10-14,male,2011,Pontevedra,population,714
in another autonomous community,10-14,female,2001,total,population,1888
in another autonomous community,10-14,female,2001,A Coruña,population,728
in another autonomous community,10-14,female,2001,Lugo,population,246
in another autonomous community,10-14,female,2001,Ourense,population,291
in another autonomous community,10-14,female,2001,Pontevedra,population,623
in another autonomous community,10-14,female,2011,total,population,1917
in another autonomous community,10-14,female,2011,A Coruña,population,784
in another autonomous community,10-14,female,2011,Lugo,population,232
in another autonomous community,10-14,female,2011,Ourense,population,257
in another autonomous community,10-14,female,2011,Pontevedra,population,645
in another autonomous community,15-19,total,2001,total,population,5432
